kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora ,TICKER
II Q 2005,PLN,1425663.0,401762.0,1487867,561364,471555,0,89082117,8030286,"1000000,000","8,030","0,472",N,PKO
III Q 2005,PLN,1385533.0,375285.0,1534155,628678,485420,0,92420853,8382360,"1000000,000","8,382","0,485",N,PKO
IV Q 2005,PLN,1396671.0,413082.0,1269980,434245,362044,0,91613181,8731206,"1000000,000","8,731","0,362",N,PKO
I Q 2004,PLN,1287455.0,381061.0,1331036,540048,411271,0,82486886,7134589,"1000000,000","7,135","0,411",N,PKO
II Q 2004,PLN,1264984.0,453542.0,1411542,535637,444975,0,82661692,7376526,"1000000,000","7,377","0,445",N,PKO
III Q 2004,PLN,1331006.0,499851.0,1295653,430752,342957,137913,86512412,7665451,"1000000,000","7,665","0,343",N,PKO
IV Q 2004,PLN,1429321.0,526938.0,1470008,363378,307502,132826,85954365,8792103,"1000000,000","8,792","0,308",N,PKO
IV Q 2002,PLN,0.0,0.0,0,0,0,0,82240146,5480419,"1000000,000","5,480","0,000",N,PKO
II Q 2003,PLN,0.0,0.0,0,0,0,0,84807868,6094601,"1000000,000","6,095","0,000",N,PKO
III Q 2003,PLN,1245709.0,396978.0,1355481,434718,291996,119672,84646707,6278886,"1000000,000","6,279","0,292",N,PKO
IV Q 2003,PLN,1250004.0,425325.0,1376266,255468,234469,167441,84568065,6399135,"1000000,000","6,399","0,234",N,PKO
 Q 0000,PLN,0.0,0.0,0,0,0,0,0,0,,,,N,PKO
IV Q 2001,,0.0,0.0,0,0,0,0,79329592,3959394,"1000000,000","3,959","0,000",N,PKO
I Q 2023,PLN,2321200.0,250500.0,186200,157000,254700,505200,18900600,9096300,"1056904,853","0,149","8,607",N,ALE
II Q 2023,PLN,2397708.0,303387.0,185843,118954,244489,547876,18741409,9138757,"1056904,853","0,113","8,647",N,ALE
III Q 2023,PLN,2431700.0,387100.0,324500,241700,253200,640300,19128000,9344300,"1056904,853","0,229","8,841",N,ALE
IV Q 2023,PLN,3034817.0,-150979.0,-196431,-233642,871576,720597,18538803,9043326,"1056904,853","-0,221","8,556",N,ALE
I Q 2022,PLN,1392600.0,281300.0,225900,166900,151200,432500,18787600,9729500,"1023255,814","0,163","9,508",N,ALE
II Q 2022,PLN,2210056.0,209023.0,27915,-63499,239961,448984,21283783,10942746,"1056904,853","-0,060","10,354",N,ALE
III Q 2022,PLN,2319500.0,-2044800.0,-2155400,-2199800,2535900,491100,19415700,8866600,"1056904,853","-2,081","8,389",N,ALE
IV Q 2022,PLN,3082816.0,372473.0,262146,179604,255663,628136,19205795,8981259,"1056904,853","0,170","8,498",N,ALE
I Q 2021,PLN,1210203.0,406196.0,355187,269648,121285,527481,15487790,8406270,"1023255,814","0,264","8,215",N,ALE
II Q 2021,PLN,1308122.0,421791.0,370654,295869,125777,547568,15756001,8737948,"1023255,814","0,289","8,539",N,ALE
III Q 2021,PLN,1233869.0,323149.0,380712,324366,133916,457065,16217065,9116807,"1023255,814","0,317","8,910",N,ALE
IV Q 2021,PLN,1600677.0,321810.0,251569,199736,139817,461627,16869877,9454065,"1023255,814","0,195","9,239",N,ALE
I Q 2020,PLN,751163.0,235957.0,138077,104334,114230,350187,0,0,"1000000,000","0,104","0,000",N,ALE
II Q 2020,PLN,1018985.0,324412.0,238618,185610,113975,438387,14475535,6910800,"1000000,000","0,186","6,911",N,ALE
III Q 2020,PLN,928695.0,167763.0,-84681,-130632,116961,284724,14516137,6806854,"1000000,000","-0,131","6,807",N,ALE
IV Q 2020,PLN,1298968.0,394911.0,324693,260882,118623,513534,15147880,8089596,"1023255,814","0,255","7,906",N,ALE
IV Q 2017,PLN,0.0,0.0,0,0,0,0,14565990,8804626,"1000000,000","0,000","8,805",N,ALE
IV Q 2018,PLN,0.0,0.0,0,0,0,0,14762341,9056693,"1000000,000","0,000","9,057",N,ALE
III Q 2019,PLN,620187.0,210624.0,100374,73034,109164,319788,0,0,"1000000,000","0,073","0,000",N,ALE
IV Q 2019,PLN,805647.0,267281.0,166342,122908,113276,380557,14278013,6670220,"1000000,000","0,123","6,670",N,ALE
IV Q 2022,PLN,21455000.0,-760000.0,-778000,-614000,1103000,343000,105778000,53538000,"2243712,994","-0,274","23,861",N,PGE
I Q 2023,PLN,27208000.0,2343000.0,2361000,1724000,1084000,3427000,120452000,54918000,"2243712,994","0,768","24,476",N,PGE
II Q 2023,PLN,22352000.0,1206000.0,716000,352000,1239000,2445000,111049000,54303000,"2243712,994","0,157","24,202",N,PGE
III Q 2023,PLN,21515000.0,1206000.0,1176000,953000,1252000,2458000,113734000,55725000,"2243712,994","0,425","24,836",N,PGE
IV Q 2021,PLN,19880000.0,993000.0,833000,721000,1178000,2171000,89274000,47494000,"2241526,140","0,322","21,188",N,PGE
I Q 2022,PLN,16897000.0,1550000.0,1389000,1022000,1065000,2615000,94966000,48857000,"2241526,140","0,456","21,796",N,PGE
II Q 2022,PLN,15728000.0,2704000.0,2611000,2266000,1073000,3777000,93292000,54721000,"2243712,994","1,010","24,389",N,PGE
III Q 2022,PLN,19355000.0,805000.0,888000,654000,1121000,1926000,98164000,55846000,"2243712,994","0,291","24,890",N,PGE
IV Q 2020,PLN,12670000.0,668000.0,522000,525000,947000,1615000,81594000,42518000,"2241526,140","0,234","18,968",N,PGE
I Q 2021,PLN,11942000.0,1164000.0,1024000,808000,1042000,2206000,84223000,43397000,"2241526,140","0,360","19,360",N,PGE
II Q 2021,PLN,10008000.0,1994000.0,2186000,1882000,1054000,3048000,79555000,45125000,"2241526,140","0,840","20,131",N,PGE
III Q 2021,PLN,10942000.0,972000.0,828000,561000,1138000,2110000,85977000,46196000,"2241526,140","0,250","20,609",N,PGE
IV Q 2019,PLN,10048000.0,-7242000.0,-7467000,-6134000,8311000,1069000,77650000,42289000,"2241526,140","-2,737","18,866",N,PGE
I Q 2020,PLN,12591000.0,773000.0,609000,432000,996000,1769000,80970000,42842000,"2241526,140","0,193","19,113",N,PGE
II Q 2020,PLN,10185000.0,-502000.0,-1153000,-1120000,1538000,1036000,75125000,41380000,"2241526,140","-0,500","18,461",N,PGE
III Q 2020,PLN,10320000.0,469000.0,336000,273000,1077000,1546000,77166000,41784000,"2241526,140","0,122","18,641",N,PGE
IV Q 2018,PLN,6984000.0,116000.0,33000,-199000,1115000,1231000,75905000,46727000,"2241526,140","-0,089","20,846",N,PGE
I Q 2019,PLN,9561000.0,859000.0,753000,585000,939000,1798000,78794000,47273000,"2241526,140","0,261","21,090",N,PGE
II Q 2019,PLN,8675000.0,1587000.0,1487000,1117000,1010000,2597000,79901000,48175000,"2241526,140","0,498","21,492",N,PGE
III Q 2019,PLN,9343000.0,621000.0,524000,471000,1056000,1677000,82130000,48711000,"2241526,140","0,210","21,731",N,PGE
IV Q 2017,PLN,6407000.0,-263000.0,-402000,-360000,1807000,1544000,72183000,45128000,"2241526,140","-0,161","20,133",N,PGE
I Q 2018,PLN,7137000.0,1315000.0,1225000,935000,899000,2214000,72187000,46469000,"2241526,140","0,417","20,731",N,PGE
II Q 2018,PLN,5734000.0,544000.0,441000,346000,945000,1489000,71042000,46842000,"2241526,140","0,154","20,897",N,PGE
III Q 2018,PLN,6091000.0,507000.0,493000,416000,934000,1441000,73503000,47196000,"2241526,140","0,186","21,055",N,PGE
IV Q 2016,PLN,7529000.0,1665000.0,1690000,1366000,923000,2588000,67474000,42679000,"2241526,140","0,609","19,040",N,PGE
I Q 2017,PLN,5741000.0,1201000.0,1147000,964000,748000,1949000,67320000,43607000,"2241526,140","0,430","19,454",N,PGE
II Q 2017,PLN,4879000.0,731000.0,664000,533000,765000,1496000,67129000,44114000,"2241526,140","0,238","19,680",N,PGE
III Q 2017,PLN,6073000.0,1883000.0,1813000,1463000,778000,2661000,67844000,45590000,"2241526,140","0,653","20,339",N,PGE
IV Q 2015,PLN,7382000.0,1273000.0,1216000,994000,741000,2014000,61296000,40321000,"2186854,771","0,455","18,438",N,PGE
I Q 2016,PLN,7133000.0,1123000.0,1075000,870000,699000,1822000,60874000,41192000,"2186854,771","0,398","18,836",N,PGE
II Q 2016,PLN,6533000.0,-171000.0,-320000,-324000,1493000,1322000,60980000,40434000,"2186854,771","-0,148","18,490",N,PGE
III Q 2016,PLN,6897000.0,895000.0,829000,656000,749000,1644000,65632000,40989000,"2186854,771","0,300","18,743",N,PGE
IV Q 2014,PLN,7286000.0,633000.0,608000,439000,847000,1480000,66205000,44768000,"2186854,771","0,201","20,471",N,PGE
I Q 2015,PLN,7553000.0,1416000.0,1362000,1095000,818000,2234000,66168000,45916000,"2186854,771","0,501","20,996",N,PGE
II Q 2015,PLN,6692000.0,-7590000.0,-7597000,-6150000,9682000,2092000,57468000,38430000,"2186854,771","-2,812","17,573",N,PGE
III Q 2015,PLN,6915000.0,1312000.0,1263000,1029000,576000,1888000,59857000,39455000,"2186854,771","0,471","18,042",N,PGE
IV Q 2013,PLN,7563000.0,747000.0,766000,644000,751000,1498000,61252000,43540000,"2186854,771","0,294","19,910",N,PGE
I Q 2014,PLN,6929000.0,978000.0,983000,790000,745000,1723000,61421000,44335000,"2186854,771","0,361","20,273",N,PGE
II Q 2014,PLN,7279000.0,2548000.0,2537000,2031000,802000,3350000,64418000,44263000,"2186854,771","0,929","20,240",N,PGE
III Q 2014,PLN,6649000.0,937000.0,485000,378000,803000,1740000,63915000,44609000,"2186854,771","0,173","20,399",N,PGE
IV Q 2012,PLN,8633485.0,-388296.0,-401362,-340407,764308,376012,56703604,40716929,"2186854,771","-0,156","18,619",N,PGE
I Q 2013,PLN,7792000.0,1381000.0,1362000,1095000,734000,2115000,56552000,41815000,"2186854,771","0,501","19,121",N,PGE
II Q 2013,PLN,7309000.0,1387000.0,1355000,1098000,795000,2182000,59184000,41301000,"2186854,771","0,502","18,886",N,PGE
III Q 2013,PLN,7481000.0,1332000.0,1365000,1111000,702000,2034000,59348000,42406000,"2186854,771","0,508","19,391",N,PGE
IV Q 2011,PLN,7250405.0,199980.0,2183160,1820290,735439,935419,58762631,40699616,"2186881,552","0,832","18,611",N,PGE
I Q 2012,PLN,7908227.0,1959119.0,2074665,1637873,713481,2672600,62024388,42369926,"2186881,552","0,749","19,375",N,PGE
II Q 2012,PLN,7005864.0,1406172.0,1416981,1065759,719730,2125902,60247410,40040084,"2186854,771","0,487","18,309",N,PGE
III Q 2012,PLN,6933500.0,1400764.0,1536758,1253029,734857,2135621,58267624,41291428,"2186854,771","0,573","18,882",N,PGE
IV Q 2010,PLN,5498583.0,882655.0,994654,743641,668862,1551517,53879991,36958707,"2186881,552","0,340","16,900",N,PGE
I Q 2011,PLN,7268792.0,1476668.0,1528165,1205924,659075,2135743,57426067,38166023,"2186881,552","0,551","17,452",N,PGE
II Q 2011,PLN,6646540.0,1184087.0,1243104,1012866,666391,1850478,55240262,37962742,"2186881,552","0,463","17,359",N,PGE
III Q 2011,PLN,6945617.0,1229559.0,1156779,853615,649651,1879210,0,0,"2186881,552","0,390","0,000",N,PGE
IV Q 2009,PLN,6140520.0,1114584.0,1362568,848813,701284,1815868,54447798,31168324,"2023497,076","0,419","15,403",N,PGE
I Q 2010,PLN,5321245.0,1371921.0,1375015,899097,657863,2029784,54549855,32104859,"2023497,076","0,444","15,866",N,PGE
II Q 2010,PLN,4811468.0,1021164.0,902566,600374,655559,1676723,53995219,31329006,"2023497,076","0,297","15,483",N,PGE
III Q 2010,PLN,4840134.0,873496.0,967918,747157,672926,1546422,0,0,"2186881,552","0,342","0,000",N,PGE
IV Q 2008,PLN,4499717.0,816085.0,877179,512603,670106,1486191,47192261,22809657,"1719972,515","0,298","13,262",N,PGE
I Q 2009,PLN,5347535.0,1641571.0,1455707,873148,645004,2286575,47423420,23678206,"1719972,515","0,508","13,767",N,PGE
II Q 2009,PLN,5221120.0,1400908.0,1419455,921507,650698,2051606,48199798,23550591,"1719972,515","0,536","13,692",N,PGE
III Q 2009,PLN,4914175.0,1187666.0,1140804,727244,641690,1829356,48080632,24216959,"1719972,515","0,423","14,080",N,PGE
IV Q 2006,PLN,0.0,0.0,0,0,0,0,54987902,27301840,"1719972,515","0,000","15,873",N,PGE
IV Q 2007,PLN,0.0,0.0,0,0,0,0,45309350,21252414,"1719972,515","0,000","12,356",N,PGE
III Q 2008,PLN,4219794.0,826830.0,736626,475702,579919,1406749,0,0,"1719972,515","0,277","0,000",N,PGE
I Q 2023,PLN,110270000.0,12575000.0,13345000,9006000,2878000,15453000,279004000,149294000,"1160942,049","7,757","128,597",N,PKN
II Q 2023,PLN,74621000.0,5370000.0,6352000,4590000,2872000,8242000,251640000,147766000,"1160942,049","3,954","127,281",N,PKN
III Q 2023,PLN,75424000.0,5583000.0,4998000,3464000,2834000,8417000,255837000,151272000,"1160942,049","2,984","130,301",N,PKN
IV Q 2023,PLN,98327000.0,8841000.0,9788000,7353000,3557000,12398000,280070000,164763000,"1160942,049","6,334","141,922",N,PKN
I Q 2022,PLN,45447000.0,3533000.0,3436000,2770000,1400000,4933000,123006000,54612000,"427709,061","6,476","127,685",N,PKN
II Q 2022,PLN,57804000.0,5218000.0,4996000,3612000,1447000,6665000,122140000,57088000,"427709,061","8,445","133,474",N,PKN
III Q 2022,PLN,72915000.0,17330000.0,16556000,14679000,1549000,18879000,168654000,85966000,"626447,925","23,432","137,228",N,PKN
IV Q 2022,PLN,106268000.0,22257000.0,22830000,18593000,3328000,25585000,313189000,142048000,"1160942,049","16,015","122,356",N,PKN
I Q 2021,PLN,24562000.0,2252000.0,2161000,1845000,1311000,3563000,92039000,43581000,"427709,061","4,314","101,894",N,PKN
II Q 2021,PLN,29423000.0,2755000.0,2854000,2227000,1294000,4049000,95892000,44580000,"427709,061","5,207","104,230",N,PKN
III Q 2021,PLN,36442000.0,3858000.0,3557000,2909000,1328000,5186000,101268000,47457000,"427709,061","6,801","110,956",N,PKN
IV Q 2021,PLN,40914000.0,5005000.0,5111000,4141000,1408000,6413000,106754000,51707000,"427709,061","9,682","120,893",N,PKN
I Q 2020,PLN,22077000.0,-1904000.0,-2562000,-2244000,935000,-969000,68361000,36322000,"427709,061","-5,247","84,922",N,PKN
II Q 2020,PLN,17010000.0,4335000.0,4449000,4350000,1128000,5463000,82064000,39842000,"427709,061","10,170","93,152",N,PKN
III Q 2020,PLN,23918000.0,1057000.0,822000,651000,1188000,2245000,81784000,40184000,"427709,061","1,522","93,952",N,PKN
IV Q 2020,PLN,23175000.0,420000.0,147000,-2000,1306000,1726000,84048000,41596000,"427709,061","-0,005","97,253",N,PKN
I Q 2019,PLN,25246000.0,996000.0,994000,849000,833000,1829000,68983000,36413000,"427709,061","1,985","85,135",N,PKN
II Q 2019,PLN,29228000.0,2101000.0,2123000,1602000,846000,2947000,70770000,36630000,"427709,061","3,746","85,642",N,PKN
III Q 2019,PLN,29229000.0,1830000.0,1567000,1266000,893000,2723000,71551000,38216000,"427709,061","2,960","89,350",N,PKN
IV Q 2019,PLN,27500000.0,469000.0,668000,583000,925000,1394000,71202000,38596000,"427709,061","1,363","90,239",N,PKN
I Q 2018,PLN,23241000.0,1414000.0,1245000,1042000,626000,2040000,60092000,32227000,"427709,061","2,436","75,348",N,PKN
II Q 2018,PLN,26701000.0,2374000.0,2232000,1744000,673000,3047000,64571000,32912000,"427709,061","4,078","76,950",N,PKN
III Q 2018,PLN,30344000.0,2291000.0,2548000,2063000,677000,2968000,67456000,34836000,"427709,061","4,823","81,448",N,PKN
IV Q 2018,PLN,29420000.0,1326000.0,1275000,897000,697000,2023000,64141000,35727000,"427709,061","2,097","83,531",N,PKN
I Q 2017,PLN,22875000.0,2276000.0,2539000,1920000,562000,2838000,54595000,28864000,"427709,061","4,489","67,485",N,PKN
II Q 2017,PLN,23025000.0,2120000.0,2123000,1541000,581000,2701000,56489000,29110000,"427709,061","3,603","68,060",N,PKN
III Q 2017,PLN,24730000.0,2274000.0,2060000,1603000,616000,2890000,59076000,30827000,"427709,061","3,748","72,075",N,PKN
IV Q 2017,PLN,24734000.0,1987000.0,1995000,1591000,662000,2649000,60664000,32197000,"427709,061","3,720","75,278",N,PKN
I Q 2016,PLN,16213000.0,478000.0,434000,337000,515000,993000,48217000,22427000,"427709,061","0,788","52,435",N,PKN
II Q 2016,PLN,19355000.0,2491000.0,2036000,1608000,508000,2999000,51809000,23352000,"427709,061","3,760","54,598",N,PKN
III Q 2016,PLN,21083000.0,1774000.0,1927000,1527000,537000,2311000,51604000,24860000,"427709,061","3,570","58,124",N,PKN
IV Q 2016,PLN,22902000.0,2789000.0,2490000,1789000,550000,3339000,55559000,26763000,"427709,061","4,183","62,573",N,PKN
I Q 2015,PLN,20005000.0,1210000.0,1034000,756000,452000,1662000,46535000,19700000,"427709,061","1,768","46,059",N,PKN
II Q 2015,PLN,24776000.0,2163000.0,1951000,1367000,464000,2627000,49025000,20515000,"427709,061","3,196","47,965",N,PKN
III Q 2015,PLN,23468000.0,1156000.0,1055000,795000,469000,1625000,49866000,22091000,"427709,061","1,859","51,650",N,PKN
IV Q 2015,PLN,20087000.0,-189000.0,-342000,-81000,510000,321000,48137000,22173000,"427709,061","-0,189","51,841",N,PKN
I Q 2014,PLN,24119000.0,254000.0,154000,64000,522000,776000,53006000,25916000,"427709,061","0,150","60,593",N,PKN
II Q 2014,PLN,28651000.0,-4817000.0,-5730000,-5197000,524000,-4293000,50607000,20703000,"427709,061","-12,151","48,404",N,PKN
III Q 2014,PLN,29160000.0,1001000.0,744000,538000,460000,1461000,50984000,21158000,"427709,061","1,258","49,468",N,PKN
IV Q 2014,PLN,24902000.0,-1149000.0,-1414000,-1216000,485000,-664000,46725000,18771000,"427709,061","-2,843","43,887",N,PKN
I Q 2013,PLN,27450000.0,334000.0,113000,149000,523000,857000,53713792,26755257,"427709,061","0,348","62,555",N,PKN
II Q 2013,PLN,28221000.0,-140000.0,-265000,-207000,520000,380000,54494576,25927638,"427709,061","-0,484","60,620",N,PKN
III Q 2013,PLN,30304000.0,601000.0,806000,655000,526000,1127000,53619807,26561903,"427709,061","1,531","62,103",N,PKN
IV Q 2013,PLN,27622000.0,-488000.0,-498000,-421000,542000,54000,51352000,25948000,"427709,061","-0,984","60,667",N,PKN
I Q 2012,PLN,29247466.0,938256.0,1531801,1260158,578585,1516841,58898109,25690361,"427709,061","2,946","60,065",N,PKN
II Q 2012,PLN,27954845.0,375375.0,98379,-5242,543036,918411,56338785,25392864,"427709,061","-0,012","59,369",N,PKN
III Q 2012,PLN,31654042.0,1449255.0,1667262,1366135,561915,2011170,57648688,26864945,"427709,061","3,194","62,811",N,PKN
IV Q 2012,PLN,31245000.0,-739000.0,-673000,-276000,577000,-162000,52631000,26479000,"427709,061","-0,645","61,909",N,PKN
I Q 2011,PLN,22673949.0,1403045.0,1375291,1104510,554331,1957376,54312677,23211515,"427709,061","2,582","54,269",N,PKN
II Q 2011,PLN,25641150.0,1132468.0,1119026,898649,576743,1709211,54472238,23825703,"427709,061","2,101","55,705",N,PKN
III Q 2011,PLN,28682328.0,779110.0,-288186,-258485,614167,1393277,58235280,23878367,"427709,061","-0,604","55,829",N,PKN
IV Q 2011,PLN,29975647.0,-1059852.0,585610,618723,634707,-425145,58731478,24533773,"427709,061","1,447","57,361",N,PKN
I Q 2010,PLN,17442075.0,503497.0,791324,593111,600619,1104116,49211884,19497298,"427709,061","1,387","45,585",N,PKN
II Q 2010,PLN,21068424.0,1208933.0,117552,-5245,612366,1821299,52105155,19874944,"427709,061","-0,012","46,468",N,PKN
III Q 2010,PLN,22105709.0,878875.0,1463499,1242471,613855,1492730,50363936,20990870,"427709,061","2,905","49,077",N,PKN
IV Q 2010,PLN,22931224.0,783356.0,697792,541021,595907,1379263,51149792,21627938,"427709,061","1,265","50,567",N,PKN
I Q 2009,PLN,14701857.0,-267903.0,-1271301,-1094873,651408,383505,49795314,17345512,"427709,061","-2,560","40,554",N,PKN
II Q 2009,PLN,16770079.0,660907.0,1334753,1170665,656349,1317256,50120297,18373179,"427709,061","2,737","42,957",N,PKN
III Q 2009,PLN,18649115.0,506229.0,1108123,930601,627110,1133339,49094724,19063822,"427709,061","2,176","44,572",N,PKN
IV Q 2009,PLN,17806939.0,377286.0,269077,302128,631406,1008692,49088070,19037903,"427709,061","0,706","44,511",N,PKN
I Q 2008,PLN,17938433.0,565073.0,790523,626268,586922,1151995,46785997,20223724,"427709,061","1,464","47,284",N,PKN
II Q 2008,PLN,22093518.0,1646323.0,2137653,1740600,607309,2253632,48152549,20928061,"427709,061","4,070","48,931",N,PKN
III Q 2008,PLN,23056543.0,512256.0,124307,21118,607535,1119791,49606941,21303347,"427709,061","0,049","49,808",N,PKN
IV Q 2008,PLN,16444731.0,-4326974.0,-5967886,-4893228,689617,-3637357,46975750,17813091,"427709,061","-11,441","41,648",N,PKN
I Q 2007,PLN,13408224.0,374762.0,215250,49201,619624,994386,45170682,18856663,"427709,061","0,115","44,088",N,PKN
II Q 2007,PLN,16218297.0,1291717.0,1509532,1135727,581632,1873349,45866855,19535495,"427709,061","2,655","45,675",N,PKN
III Q 2007,PLN,17264536.0,833822.0,610755,593412,603841,1437663,45320035,19916102,"427709,061","1,387","46,565",N,PKN
IV Q 2007,PLN,16901926.0,103581.0,675528,634069,626326,729907,46102825,19935335,"427709,061","1,482","46,610",N,PKN
I Q 2006,PLN,11330649.0,416106.0,442875,347702,566310,982416,33808525,17188086,"427709,061","0,813","40,186",N,PKN
II Q 2006,PLN,13544538.0,1179152.0,1150863,870238,464519,1643671,35566553,18179630,"427709,061","2,035","42,505",N,PKN
III Q 2006,PLN,14879076.0,1147630.0,1316862,965858,532767,1680397,36558672,19092331,"427709,061","2,258","44,639",N,PKN
IV Q 2006,PLN,13112926.0,-168026.0,-181253,-197832,544531,376505,45419084,18850940,"427709,061","-0,463","44,074",N,PKN
I Q 2005,PLN,6805908.0,797953.0,820771,667527,288137,1086090,21144259,12305503,"427709,061","1,561","28,771",N,PKN
II Q 2005,PLN,9955048.0,2585682.0,2813959,2560212,329302,2914984,32976560,14952972,"427709,061","5,986","34,961",N,PKN
III Q 2005,PLN,13074428.0,1090777.0,1221227,985238,531698,1622475,32959053,15903680,"427709,061","2,304","37,183",N,PKN
IV Q 2005,PLN,11352883.0,443812.0,483264,365479,619094,1062906,33404311,16671837,"427709,061","0,855","38,979",N,PKN
I Q 2004,PLN,6340215.0,527457.0,479263,352651,300704,828161,17496597,9525405,"427709,061","0,825","22,271",N,PKN
II Q 2004,PLN,7472937.0,588940.0,693085,550551,326610,915550,19466277,11094181,"427709,061","1,287","25,939",N,PKN
III Q 2004,PLN,8504215.0,997378.0,1066923,832792,272420,1269798,20273761,11971453,"427709,061","1,947","27,990",N,PKN
IV Q 2004,PLN,8399241.0,555530.0,853224,703274,260107,815637,20869475,13191608,"427709,061","1,644","30,842",N,PKN
I Q 2003,PLN,6980240.0,598692.0,528328,381634,271150,869842,17056770,8342376,"336141,710","1,135","24,818",N,PKN
II Q 2003,PLN,8263106.0,185311.0,242679,173248,265634,450945,16696903,8460638,"336141,710","0,515","25,170",N,PKN
III Q 2003,PLN,9113322.0,362864.0,308817,257130,268909,631773,16978229,8733475,"336141,710","0,765","25,982",N,PKN
IV Q 2003,PLN,9364266.0,156982.0,174477,213851,270792,427774,16983391,9155986,"427709,061","0,500","21,407",N,PKN
I Q 2002,PLN,5763988.0,182809.0,110504,68667,250057,432866,14408504,7571096,"336141,710","0,204","22,524",N,PKN
II Q 2002,PLN,6289790.0,216530.0,190785,130474,254164,470694,14430840,7648424,"336141,710","0,388","22,754",N,PKN
III Q 2002,PLN,7161047.0,289743.0,258539,177146,256619,546362,14836226,7867066,"336141,710","0,527","23,404",N,PKN
IV Q 2002,PLN,7113554.0,69531.0,212604,103048,261681,331212,14783526,7927014,"336141,710","0,307","23,582",N,PKN
I Q 2001,PLN,5796488.0,74857.0,40475,26251,211485,286342,14461834,7185372,"336141,710","0,078","21,376",N,PKN
II Q 2001,PLN,6465714.0,317141.0,288311,212811,231653,548794,14532787,7373408,"336141,710","0,633","21,935",N,PKN
III Q 2001,PLN,6986888.0,196989.0,111241,82458,224718,421707,14624012,7456046,"336141,710","0,245","22,181",N,PKN
IV Q 2001,PLN,6623243.0,66519.0,56178,44346,238429,304948,14109041,7501139,"336141,710","0,132","22,315",N,PKN
I Q 2000,PLN,5584391.0,209066.0,207368,157805,181201,390267,12118621,6449903,"336141,710","0,469","19,188",N,PKN
II Q 2000,PLN,6663384.0,298296.0,200326,135315,187897,486193,12676577,6572088,"336141,710","0,403","19,552",N,PKN
III Q 2000,PLN,7298690.0,640395.0,546019,387795,206252,846647,13365473,6959883,"336141,710","1,154","20,705",N,PKN
IV Q 2000,PLN,7313442.0,278833.0,173569,123935,235859,514692,13604449,7086147,"336141,710","0,369","21,081",N,PKN
 Q 0000,PLN,11034277.0,609167.0,762055,659611,1,609168,19019413,11427296,"427709,061","1,542","26,717",N,PKN
IV Q 1998,PLN,0.0,0.0,0,0,0,0,9129033,5590647,"0,000",,,N,PKN
II Q 1999,PLN,0.0,0.0,0,0,0,0,8497025,4921108,"0,000",,,N,PKN
IV Q 1999,,0.0,0.0,0,0,0,0,11577935,6292105,"336141,710","0,000","18,719",N,PKN
 Q 0000,,24734000.0,1987000.0,1995000,1591000,662000,2649000,60664000,32197000,,,,N,PKN
IV Q 2022,CZK,76374000.0,36737000.0,36347000,28447000,9488000,46225000,1107380000,258886000,"537989,759","52,876","481,210",N,CEZ
I Q 2023,CZK,92777000.0,24298000.0,24393000,10772000,9394000,33692000,943093000,285905000,"537989,759","20,023","531,432",N,CEZ
II Q 2023,CZK,74266000.0,21020000.0,19678000,11458000,9481000,30501000,894730000,223440000,"537989,759","21,298","415,324",N,CEZ
III Q 2023,CZK,76184000.0,21815000.0,19336000,7532000,10004000,31819000,789459000,233618000,"537989,759","14,000","434,242",N,CEZ
IV Q 2021,CZK,71267000.0,2294000.0,2583000,3231000,10949000,13243000,1183081000,161098000,"537989,759","6,006","299,444",N,CEZ
I Q 2022,CZK,70930000.0,36168000.0,33393000,26709000,8605000,44773000,1367773000,164986000,"537989,759","49,646","306,671",N,CEZ
II Q 2022,CZK,53811000.0,8061000.0,8298000,6925000,8507000,16568000,1467923000,103765000,"537989,759","12,872","192,875",N,CEZ
III Q 2022,CZK,79938000.0,20961000.0,21585000,18705000,10064000,31025000,1653964000,87830000,"537989,759","34,768","163,256",N,CEZ
IV Q 2020,CZK,56896000.0,-10577000.0,-9564000,-7823000,7347000,-3230000,702458000,233871000,"537989,759","-14,541","434,713",N,CEZ
I Q 2021,CZK,58214000.0,11235000.0,10419000,8404000,7715000,18950000,738067000,242722000,"537989,759","15,621","451,165",N,CEZ
II Q 2021,CZK,48530000.0,-5091000.0,-6147000,-6971000,8150000,3059000,844245000,200576000,"537989,759","-12,957","372,825",N,CEZ
III Q 2021,CZK,46811000.0,7660000.0,6571000,5127000,8924000,16584000,1226565000,179040000,"537989,759","9,530","332,794",N,CEZ
IV Q 2019,CZK,56589000.0,4345000.0,1684000,935000,8698000,13043000,704574000,250761000,"537989,759","1,738","466,107",N,CEZ
I Q 2020,CZK,56033000.0,18807000.0,17192000,13805000,8359000,27166000,783393000,268339000,"537989,759","25,660","498,781",N,CEZ
II Q 2020,CZK,48189000.0,3153000.0,1057000,632000,8512000,11665000,699881000,246595000,"537989,759","1,175","458,364",N,CEZ
